osm_id,name,operator,address,area,latitude,longitude,is_24x7,opening_hours,phone,needs_review
gail/152,Prem Nagar-COCO (GAIL Gas Station),GAIL,"Pipeline Rd, KHBS Layout, Basaveshwar Nagar",,12.996347,77.519439,false,,,model:COCO
gail/153,Jigani- COCO (GAIL Gas Station),GAIL,"Jigani, Karnataka 560105",,12.777706,77.643986,false,,,model:COCO
gail/154,"Hardware Park-COCO, (GAIL Gas Station)",GAIL,"5M3PV38, Huvinayakanahalli, Bengaluru, Karnataka",,13.154778,77.685222,false,,,model:COCO
gail/155,"Software Park-COCO (GAIL Gas Station) Plot No. AM-5, Gollahalli Village, Bengaluru - 562129",GAIL,,,13.153583,77.728889,false,,,model:COCO
gail/156,ITI-I,GAIL,"Iti Gate, Malur - Byranahalli Rd, ITI Colony",,13.005083,77.685583,false,,,model:COCO
gail/157,Hoskote - COCO (GAIL Gas Station),GAIL,"Sy. No. 85, P NO AM-2, Chokkahalli Village, Bengaluru",,13.121135,77.826930,false,,,model:COCO
gail/158,COCO Attibele,GAIL,"Utility-1, S.No. 44&45, KIADB Industrail Area Attibele",,12.786181,77.742612,false,,,model:COCO
gail/159,COCO KIADB Boomsandra,GAIL,"58,Yarandahali Village,Bommasandra Industrial",,12.812615,77.662200,false,,,model:COCO
gail/160,COCO Harappanahalli,GAIL,"Bannerghatta Main Road, Anekal, Taluka/Tehsil",,12.988770,77.685840,false,,,model:COCO
gail/161,COCO ITI-2 (Ramamurthynagar),GAIL,"Bangalore,Bangalore East, Taluka/Tehsil : Bangalore",,13.011520,77.683850,false,,,model:COCO
gail/162,CPIL 133 ( Jalahalli),GAIL,"Bangalore North Taluk, Bangalore - 560013",,13.066490,77.546040,false,,,model:FDODO
gail/163,CPIL 130 (Kanakpura),GAIL,"South, Taluka: Bangalore South",,12.889910,77.554540,false,,,model:FDODO
gail/164,CPIL 96(Harohalli),GAIL,"Vishwaneedham Post, Bengaluru-560091, Bangalore",,12.990680,77.491260,false,,,model:FDODO
gail/165,CPIL -33 Lalbagh,GAIL,"Plot No. 184 Site No.184, Sri MN Krishna Rao Road",,12.958560,77.580650,false,,,model:FDODO
gail/166,CPIL -55 KH Road,GAIL,"BBMP Khata No. 127, ""Harikrupa"", K.H. Road",,12.972420,77.593740,false,,,model:FDODO
gail/167,CPIL -129 Peenya,GAIL,"Plot No. 164, 10th Main Road, 3rd Phase, Peenya",,13.031760,77.520890,false,,,model:FDODO
gail/168,CPIL -127 Singhasandra,GAIL,"Khata No. 58/8/1, Hosur Main Road, Berethana",,12.875140,77.655110,false,,,model:FDODO
gail/169,CPIL -147 Kothnur,GAIL,"Village,Uttarahalli Hobli, Ward No.194,Bengaluru",,12.882030,77.584130,false,,,model:FDODO
gail/170,CPIL -64 Vijaynagar,GAIL,"Plot No.27,10A Cross, Kempegowda Layout, Govindaraj",,12.977720,77.531550,false,,,model:FDODO
gail/171,CPIL -105 Jakkasandra,GAIL,"Plot No.166 & Plot No. 171/1,1st Block Koramangala",,12.908320,77.637190,false,,,model:FDODO
gail/172,CPIL -303 JP Nagar,GAIL,"Khata No.613/A,15th Cross,6th Phase,J.P Nagar,Ward",,12.906250,77.575610,false,,,model:FDODO
gail/173,CPIL -81 Kengeri,GAIL,"4/A, Nagadevanahalli Village,Kengeri Hobli, Bengaluru",,12.952090,77.490670,false,,,model:FDODO
gail/174,CPIL -237 Pattanagere,GAIL,"No.58/57/8/11,Pattanagere,Hemmigepura Ward",,12.909020,77.512520,false,,,model:FDODO
