osm_id,name,operator,address,area,latitude,longitude,is_24x7,opening_hours,phone,needs_review
hpoil/kolhapur/1,M/s KOLHAPUR MOTOR MALAK SANGH,HPOIL,"Gut No, 29 & 30, ON RATNAGIRI TO KOLHAPUR ROAD, SH NO.204",Kolhapur,16.710000,74.211900,false,,,low-precision-coords:2dp|possible-duplicate:25m
hpoil/kolhapur/2,M/s Chogule Petroleum,HPOIL,"Gat No, 1458, SH130, Madilge Bk., Madilge Kh., Maharashtra 416209",Kolhapur,16.356700,74.153500,false,,,
hpoil/kolhapur/3,M/s UMIYA PETROCENTRE,HPOIL,"GOKHALE COLLEGE ROAD, KOLHAPUR",Kolhapur,16.691400,74.233800,false,,,
hpoil/kolhapur/4,M/s KOLHAPUR MOTOR MALAK SANGH PVT LTD,HPOIL,"ON RATNAGIRI TO KOLHAPUR ROAD, Ambewadi",Kolhapur,16.710200,74.212000,false,,,possible-duplicate:25m
hpoil/kolhapur/5,M/s N S PETROLEUM,HPOIL,SANGAWADE ON KOLHAPUR TO HUPARI ROAD SH 115,Kagal,16.666800,74.330600,false,,,
hpoil/kolhapur/6,M/s MANGAVE PETROLINK,HPOIL,JAINAPUR ON KOLHAPUR TO SANGLI ROAD,Jaisingpur,16.784600,74.512500,false,,,
hpoil/kolhapur/7,M/s BALAJI PETROL PUMP,HPOIL,BALINGA SH 177 (KOLHAPUR-GAGANBAWDA ROAD),Kolhapur,16.692200,74.181000,false,,,
hpoil/kolhapur/8,M/s MADNAIK FUEL SERVICE,HPOIL,JAISINGPUR MSH-6 (KOLHAPUR-SANGLI ROAD),Jaisingpur,16.781200,74.559200,false,,,
hpoil/kolhapur/9,M/s Warna Petrleum,HPOIL,WARNA NAGAR SH 192 (VATHAR-WARNA ROAD),Panhala,16.866200,74.201500,false,,,
hpoil/kolhapur/10,M/s J B Petrolinks,HPOIL,"SHAHAPUR, ICHALKARANJI RING ROAD ICHALKARANJI",Ichalkaranji,16.708800,74.466200,false,,,
hpoil/kolhapur/11,M/s TARE FUELS,HPOIL,SHIROL SH 137 (JAISINGPUR-SHIROL ROAD),Jaisingpur,16.746700,74.605900,false,,,
hpoil/kolhapur/12,M/s KESARKAR PETROLEUM,HPOIL,UTTUR SH 198(AJRA UTTUR ROAD),Gadhinglaj,16.234600,74.261500,false,,,
hpoil/kolhapur/13,M/s HAJARE PETROLEUM,HPOIL,NEW VASHI RADHANAGARI ROAD,Kolhapur,16.642500,74.179400,false,,,
hpoil/kolhapur/14,M/s LAXMI PETROLEUM,HPOIL,"YELUR, MALKAPUR NH166 (KOLHAPUR - RATNAGIRI ROAD)",Malkapur,16.936500,73.908700,false,,,
hpoil/kolhapur/15,M/s BEHERJI PETROLEUM,HPOIL,MURGUD SH178 (NIPANI DEVGAD HIGHWAY),Murgud,16.401100,74.185300,false,,,
hpoil/kolhapur/16,M/s SUSHANT TRANSPORT,HPOIL,AJARA SH188 (AJRA-GADINGLAJ RD),Gadhinglaj,16.125400,74.206900,false,,,
hpoil/kolhapur/17,"M/s Londhe & Company, Gadhinglaj (Adhoc BEHERJI PETROLEUM)",HPOIL,GADHINGLAJ SH 189(GADHINGLUJ CHANDGAD ROAD),Gadhinglaj,16.212400,74.352100,false,,,
hpoil/kolhapur/18,M/s VAKRATUNDA FUELS,HPOIL,SARVADE SH 178 (DEVGAD-NIPANI ROAD),Murgud,16.421000,74.093800,false,,,
hpoil/kolhapur/19,M/s KONDUSKAR AUTO CENTRE,HPOIL,"RAJARAMPURI, KOLHAPUR RAJARAMPURI ROAD",Kolhapur,16.691700,74.243800,false,,,
hpoil/kolhapur/20,"M/s Deokar Automobiles, Rankala Kolhapur",HPOIL,"RANKALA, KOLHAPUR RADHANAGARI ROAD",Kolhapur,16.682400,74.214400,false,,,
hpoil/kolhapur/21,M/s MANAGAVE AUTOMOBILES (HSD),HPOIL,KONDIGRE SH 3 (KOLHAPUR-JAISINGHPUR ROAD),Jaisingpur,16.756900,74.504600,false,,,
hpoil/kolhapur/22,M/s DEEPRAJ PETROLEUM,HPOIL,"DANEWADI, PANHALA NH166 (KOLHAPUR-RATNAGIRI ROAD)",Panhala,16.800500,74.148900,false,,,
hpoil/kolhapur/23,M/s Devgiri Autolines,HPOIL,"SAMBHAPUR, VADGOAN SH 136 (TOAP-VADGAON ROAD)",Vadgaon,16.813300,74.297700,false,,,
hpoil/kolhapur/24,M/s LAXMI AUTO SERVICES,HPOIL,"KWALA NAKA, KOLHAPUR OLD PUNE-BANGLORE ROAD",Kolhapur,16.705700,74.248100,false,,,
hpoil/kolhapur/25,M/s SUDARSHAN PETROLEUM CENTRE,HPOIL,GOKUL SHIRGAON NH 4 (PUNE-BANGALORE ROAD),Kagal,16.649300,74.274100,false,,,
hpoil/kolhapur/26,M/s DESHBHAKT RATNAPPA KUMBHAR PANCHGANGA SSK LTD,HPOIL,"GANGANAGAR, ICHALKARANJI SH 192 ICHALKARANJI-HATKANAGLE ROAD",Ichalkaranji,16.711200,74.448100,false,,,
hpoil/kolhapur/27,M/s India Auto,HPOIL,SHIROLI MIDC NH 4 (PUNE-BANGALORE ROAD),Shiroli,16.752300,74.279100,false,,,
hpoil/kolhapur/28,M/s Gaikwad Petrolinks,HPOIL,VADGAON NH 4 (PUNE-BANGALORE ROAD),Vadgaon,16.825300,74.286800,false,,,
hpoil/kolhapur/29,M/s HP Highaway,HPOIL,VADGAON NH 4 (PUNE-BANGALORE ROAD),Vadgaon,16.816400,74.285100,false,,,
hpoil/kolhapur/30,M/s DISHA PETROLINKS,HPOIL,HERLE NH-166 (KOLHAPUR-SANGLI ROAD),Shiroli,16.744600,74.323400,false,,,
hpoil/kolhapur/31,M/s HPOIL Gas (Owned & Operated by HPOIL),HPOIL,"KAGAL MIDC RAYMOND CHOWK TO NH4 ROAD, KAGAL MIDC",Kagal,16.610500,74.340700,false,,,
